BookingID,Booking Date,Customer,Region,Product,Deal Type,Sales Rep,Amount (Local),Currency
BK10311,04/15/2024,Customer 113,central,AnalyticsAddon,Services,Luis Ortega,139902.51,INR
BK10041,08/15/2024,Customer 045,west ,AnalyticsAddon,Renewal,Sara Cohen,7188.6,USD
BK10034,06/08/2024,Customer 078,Central,SecuritySuite,Renewal,Luis Ortega,124686.99,CAD
BK10161,06/18/2024,Customer 053,SOUTH,AnalyticsAddon,Services,Priya Sharma,111075.39,INR
BK10277,2025-01-08,Customer 076,East ,CorePlatform,Services,John Smith,169906.56,USD
BK10318,04/27/2025,Customer 076,East,CorePlatform,Support,John Smith,41186.5,CAD
BK10323,06/16/2024,Customer 067,south,SecuritySuite,Renewal,Anna Kowalski,68820.89,INR
BK10260,2024-02-02,Customer 049,EAST,DataConnect,New License,Tom Becker,115704.41,GBP
BK10074,11/09/2024,Customer 071,Central ,SecuritySuite,Services,Luis Ortega,179403.77,EUR
BK10018,2024-09-10,Customer 044,West,AnalyticsAddon,Renewal,Maria Garcia,4272.78,GBP
BK10274,2025-02-09 00:00:00,Customer 103,central,DataConnect,Support,Luis Ortega,79219.07,INR
BK10235,2024-10-20 00:00:00,Customer 099,South,DataConnect,Support,Priya Sharma,178735.62,USD
BK10168,2024-12-09 00:00:00,Customer 005,west ,DataConnect,Renewal,Maria Garcia,137314.88,EUR
BK10197,2024-06-10 00:00:00,Customer 062,SOUTH,AnalyticsAddon,Support,Anna Kowalski,110378.87,USD
BK10036,2024-12-07 00:00:00,Customer 021,West,DataConnect,Services,Sara Cohen,102280.52,USD
BK10232,2025-05-15 00:00:00,Customer 104,East,DataConnect,Renewal,Tom Becker,93844.87,EUR
BK10073,2025-05-02 00:00:00,Customer 102,South,CorePlatform,Support,Anna Kowalski,42222.56,GBP
BK10256,01/17/2025,Customer 085,EAST,CorePlatform,New License,Tom Becker,97201.61,EUR
BK10039,2025-02-20,Customer 111,West,AnalyticsAddon,Services,Maria Garcia,7387.19,INR
BK10369,01/31/2025,Customer 114,west ,SecuritySuite,Renewal,Sara Cohen,81902.22,USD
BK10335,2025-06-16 00:00:00,Customer 059,south,CorePlatform,New License,Anna Kowalski,92460.71,GBP
BK10090,2024-04-17 00:00:00,Customer 053,West,DataConnect,Support,Sara Cohen,120277.29,EUR
BK10341,11/02/2024,Customer 004,central,DataConnect,Renewal,Wei Chen,19766.37,USD
BK10371,2024-03-28 00:00:00,Customer 097,Central ,AnalyticsAddon,New License,Luis Ortega,151821.1,INR
BK10259,01/17/2025,Customer 073,South,AnalyticsAddon,Support,Anna Kowalski,124075.37,CAD
BK10338,2024-04-21 00:00:00,Customer 022,west ,DataConnect,Support,Maria Garcia,74952.72,EUR
BK10399,2024-03-23 00:00:00,Customer 081,South,SecuritySuite,New License,Anna Kowalski,3834.29,USD
BK10093,03/28/2025,Customer 035,East ,SecuritySuite,Services,John Smith,158909.85,EUR
BK10263,01/17/2024,Customer 097,West,DataConnect,New License,Maria Garcia,55972.01,EUR
BK10356,06/10/2024,Customer 084,SOUTH,AnalyticsAddon,Support,Anna Kowalski,42512.99,EUR
BK10072,2024-10-09 00:00:00,Customer 011,East ,DataConnect,Services,John Smith,101266.19,USD
BK10044,12/19/2024,Customer 078,Central ,CorePlatform,Services,Luis Ortega,162212.34,USD
BK10139,2024-03-27 00:00:00,Customer 021,East,CorePlatform,Support,John Smith,81431.0,EUR
BK10064,01/21/2024,Customer 017,west ,CorePlatform,Renewal,Maria Garcia,85311.02,USD
BK10062,04/10/2025,Customer 098,central,SecuritySuite,Services,Luis Ortega,47652.06,USD
BK10099,01/21/2025,Customer 112,South,AnalyticsAddon,Services,Anna Kowalski,44340.55,INR
BK10174,04/16/2024,Customer 006,central,SecuritySuite,Renewal,Wei Chen,149977.91,GBP
BK10155,2024-03-08 00:00:00,Customer 072,Central ,DataConnect,Support,Wei Chen,47603.25,CAD
BK10149,2025-04-20 00:00:00,Customer 111,south,SecuritySuite,Renewal,Anna Kowalski,80838.02,EUR
BK10290,2024-06-25 00:00:00,Customer 087,Central,SecuritySuite,New License,Wei Chen,45227.37,USD
BK10092,06/10/2025,Customer 053,East,AnalyticsAddon,Support,Tom Becker,113206.2,EUR
BK10350,02/29/2024,Customer 099,south,AnalyticsAddon,Renewal,Anna Kowalski,20723.78,GBP
BK10386,2024-04-02,Customer 050,Central,AnalyticsAddon,Renewal,Wei Chen,154708.68,GBP
BK10180,2024-10-29 00:00:00,Customer 078,Central ,DataConnect,Renewal,Luis Ortega,125088.37,USD
BK10379,12/05/2024,Customer 096,west ,SecuritySuite,Support,Maria Garcia,6581.22,INR
BK10179,2024-09-30 00:00:00,Customer 011,EAST,AnalyticsAddon,Support,Tom Becker,59854.42,USD
BK10031,2024-03-15,Customer 080,East,CorePlatform,Renewal,Tom Becker,92541.59,USD
BK10008,2024-08-12,Customer 030,Central,SecuritySuite,Services,Wei Chen,50390.14,USD
BK10100,2024-02-14 00:00:00,Customer 091,central,DataConnect,Renewal,Luis Ortega,90673.17,USD
BK10321,2024-03-08 00:00:00,Customer 094,Central,CorePlatform,Renewal,Luis Ortega,18259.67,EUR
BK10119,03/05/2025,Customer 084,West,DataConnect,Services,Sara Cohen,169212.39,USD
BK10248,01/16/2024,Customer 095,West,DataConnect,Renewal,Maria Garcia,126125.85,GBP
BK10229,2025-01-17 00:00:00,Customer 097,south,AnalyticsAddon,Renewal,Anna Kowalski,123420.52,EUR
BK10049,06/07/2025,Customer 085,South,SecuritySuite,Support,Priya Sharma,19529.53,BRL
BK10249,02/10/2025,Customer 100,west ,DataConnect,Services,Sara Cohen,97456.07,USD
BK10150,2024-11-06 00:00:00,Customer 046,Central ,CorePlatform,Support,Wei Chen,84728.42,USD
BK10075,12/26/2024,Customer 040,SOUTH,AnalyticsAddon,New License,Anna Kowalski,130667.33,USD
BK10300,2024-09-30 00:00:00,Customer 097,EAST,CorePlatform,Support,John Smith,156467.42,USD
BK10157,2025-02-05 00:00:00,Customer 040,West,DataConnect,Support,Maria Garcia,146933.71,GBP
BK10170,2024-11-04,Customer 031,EAST,DataConnect,New License,John Smith,22621.85,CAD
BK10111,2024-02-20 00:00:00,Customer 100,South,SecuritySuite,Renewal,Anna Kowalski,115681.36,GBP
BK10048,2024-11-07,Customer 056,Central ,SecuritySuite,Services,Wei Chen,81196.12,GBP
BK10104,10/21/2024,Customer 056,West,CorePlatform,Services,Maria Garcia,32446.57,USD
BK10282,2025-06-15 00:00:00,Customer 048,west ,DataConnect,Renewal,Sara Cohen,64059.23,USD
BK10223,2024-07-16 00:00:00,Customer 021,EAST,SecuritySuite,Renewal,Tom Becker,5492.9,USD
BK10225,2024-04-07 00:00:00,Customer 062,west ,AnalyticsAddon,New License,Maria Garcia,49158.99,USD
BK10027,2024-03-03 00:00:00,Customer 007,Central ,DataConnect,Renewal,Wei Chen,13067.69,EUR
BK10050,2024-08-28 00:00:00,Customer 104,Central,AnalyticsAddon,New License,Wei Chen,11179.83,BRL
BK10230,2024-03-24,Customer 010,south,CorePlatform,New License,Anna Kowalski,149693.01,CAD
BK10243,2025-05-22 00:00:00,Customer 083,EAST,SecuritySuite,Services,Tom Becker,75261.87,USD
BK10270,2024-04-15 00:00:00,Customer 046,East,SecuritySuite,Services,John Smith,5184.29,EUR
BK10032,2024-12-23,Customer 048,east,AnalyticsAddon,Services,John Smith,150572.86,GBP
BK10310,2024-05-03 00:00:00,Customer 062,South,AnalyticsAddon,Services,Priya Sharma,18811.6,INR
BK10307,2024-07-26,Customer 021,west ,CorePlatform,Support,Sara Cohen,47318.9,USD
BK10017,08/04/2024,Customer 052,West,SecuritySuite,Services,Sara Cohen,162231.69,EUR
BK10182,06/09/2025,Customer 019,West,DataConnect,New License,Maria Garcia,25342.71,USD
BK10021,07/13/2024,Customer 085,EAST,SecuritySuite,Services,John Smith,75765.1,CAD
BK10005,2025-01-05,Customer 006,West,AnalyticsAddon,Support,Maria Garcia,177384.21,CAD
BK10236,2025-01-21 00:00:00,Customer 088,south,AnalyticsAddon,Support,Priya Sharma,23998.07,BRL
BK10047,05/10/2024,Customer 086,west ,AnalyticsAddon,Support,Sara Cohen,74875.3,INR
BK10288,03/05/2024,Customer 047,east,AnalyticsAddon,Services,John Smith,23170.03,GBP
BK10306,2025-04-15 00:00:00,Customer 119,East ,DataConnect,Services,John Smith,3119.64,BRL
BK10037,06/01/2024,Customer 075,East ,DataConnect,Renewal,Tom Becker,10403.71,USD
BK10234,03/15/2024,Customer 045,East,CorePlatform,New License,Tom Becker,177546.29,EUR
BK10275,2024-05-19,Customer 078,Central ,AnalyticsAddon,Services,Luis Ortega,58610.44,BRL
BK10216,12/20/2024,Customer 096,SOUTH,AnalyticsAddon,Renewal,Anna Kowalski,149547.45,USD
BK10245,02/26/2025,Customer 050,South,SecuritySuite,Renewal,Priya Sharma,61456.55,USD
BK10328,2024-02-06 00:00:00,Customer 042,South,DataConnect,Support,Priya Sharma,51012.66,USD
